Country_From,Country_to,Distance,Gravity,Flow(log),Flow(Fij + Fji),Offset,Offset (abs),GDP A,GDP B,GDP Diff,GDP Diff(abs),Latitude_from,Longitude_from,Latitude_to,Longitude_to,pop_from,pop_to
AD,JO,3293,67388.78735,0,1,4.010434146,4.010434146,40215.44,4087.937517,36127.50248,36127.50248,42.546245,1.601554,30.585164,36.238414,77281,9455802
AD,PH,11205,63596.66502,0,1,4.068351758,4.068351758,40215.44,2951.071929,37264.36807,37264.36807,42.546245,1.601554,12.879721,121.774017,77281,103320222
AD,CO,8479,52299.41454,0,1,4.263927614,4.263927614,40215.44,5805.605335,34409.83467,34409.83467,42.546245,1.601554,4.570868,-74.297333,77281,48653419
AE,IN,2320,2280498416,4.189654742,66,-5.623148675,5.623148675,37622.20746,1709.387921,35912.81954,35912.81954,23.424076,53.847818,20.593684,78.96288,9269612,1324171354
AE,PK,2063,420802233.2,4.990432587,147,-3.781051112,3.781051112,37622.20746,1468.192946,36154.01451,36154.01451,23.424076,53.847818,30.375321,69.345116,9269612,193203476
AE,IQ,1406,174447150.8,1.791759469,6,-3.50811183,3.50811183,37622.20746,4609.600694,33012.60677,33012.60677,23.424076,53.847818,33.223191,43.679291,9269612,37202572
AE,EG,2382,156328661.7,2.397895273,11,-3.283312464,3.283312464,37622.20746,3514.490097,34107.71736,34107.71736,23.424076,53.847818,26.820553,30.802498,9269612,95688681
AE,TR,2635,106153745.3,1.098612289,3,-3.143044783,3.143044783,37622.20746,10787.60934,26834.59812,26834.59812,23.424076,53.847818,38.963745,35.243322,9269612,79512426
AE,AF,1806,98492894.39,2.197224577,9,-2.859454544,2.859454544,37622.20746,561.7787463,37060.42871,37060.42871,23.424076,53.847818,33.93911,67.709953,9269612,34656032
AE,YE,1472,118006664.2,3.295836866,27,-2.83152506,2.83152506,37622.20746,990.334774,36631.87269,36631.87269,23.424076,53.847818,15.552727,48.516388,9269612,27584213
AE,ID,6577,55954942.25,3.33220451,28,-2.078422533,2.078422533,37622.20746,3570.294888,34051.91257,34051.91257,23.424076,53.847818,-0.789275,113.921327,9269612,261115456
AE,NP,3102,27920158.19,0,1,-2.016191432,2.016191432,37622.20746,729.5325011,36892.67496,36892.67496,23.424076,53.847818,28.394857,84.124008,9269612,28982771
AE,UA,3557,32972446.03,1.791759469,6,-1.842162239,1.842162239,37622.20746,2185.728031,35436.47943,35436.47943,23.424076,53.847818,48.379433,31.16558,9269612,45004645
AE,MM,4422,25070235.85,0.693147181,2,-1.776857491,1.776857491,37622.20746,1275.017608,36347.18985,36347.18985,23.424076,53.847818,21.913965,95.956223,9269612,52885223
AE,TZ,3729,37045408.43,2.772588722,16,-1.772321634,1.772321634,37622.20746,879.193814,36743.01365,36743.01365,23.424076,53.847818,-6.369028,34.888822,9269612,55572201
AE,NG,5805,51161805.44,4.477336814,88,-1.771346181,1.771346181,37622.20746,2177.98517,35444.22229,35444.22229,23.424076,53.847818,9.081999,8.675277,9269612,185989640
AE,CD,5260,26379360.29,1.791759469,6,-1.619071892,1.619071892,37622.20746,444.5053168,37177.70214,37177.70214,23.424076,53.847818,-4.038333,21.758664,9269612,78736153
AE,US,11388,23096202.43,1.609437912,5,-1.520790974,1.520790974,37622.20746,57466.78711,-19844.57965,19844.57965,23.424076,53.847818,37.09024,-95.712891,9269612,323127513
AE,AZ,1833,26933179.11,2.48490665,12,-1.508182628,1.508182628,37622.20746,3876.936433,33745.27103,33745.27103,23.424076,53.847818,40.143105,47.576927,9269612,9762274
AE,VN,5693,26513317.72,2.995732274,20,-1.395437294,1.395437294,37622.20746,2185.690282,35436.51718,35436.51718,23.424076,53.847818,14.058324,108.277199,9269612,92701100
AE,KE,3375,39437688.71,5.220355825,185,-1.369935152,1.369935152,37622.20746,1455.359765,36166.8477,36166.8477,23.424076,53.847818,-0.023559,37.906193,9269612,48461567
AE,BR,11887,13622441.71,0,1,-1.298561047,1.298561047,37622.20746,8649.948492,28972.25897,28972.25897,23.424076,53.847818,-14.235004,-51.92528,9269612,207652865
AE,UG,3568,30208836.44,4.234106505,69,-1.290690047,1.290690047,37622.20746,615.3088032,37006.89866,37006.89866,23.424076,53.847818,1.373333,32.290275,9269612,41487965
AE,JO,1981,22335258.07,3.737669618,42,-1.08302242,1.08302242,37622.20746,4087.937517,33534.26994,33534.26994,23.424076,53.847818,30.585164,36.238414,9269612,9455802
AE,TJ,2066,18969740.72,4.624972813,102,-0.751153931,0.751153931,37622.20746,795.8438644,36826.3636,36826.3636,23.424076,53.847818,38.861034,71.276093,9269612,8734951
AE,MW,4706,7572409.426,0,1,-0.711353791,0.711353791,37622.20746,300.7948251,37321.41263,37321.41263,23.424076,53.847818,-13.254308,34.301525,9269612,18091575
AE,PH,7013,19473284.51,5.993961427,401,-0.517306983,0.517306983,37622.20746,2951.071929,34671.13553,34671.13553,23.424076,53.847818,12.879721,121.774017,9269612,103320222
AE,LB,2105,12565824.33,4.043051268,57,-0.449828115,0.449828115,37622.20746,7914.004677,29708.20278,29708.20278,23.424076,53.847818,33.854721,35.862285,9269612,6006668
AE,ZM,5178,5736146.519,0,1,-0.433630135,0.433630135,37622.20746,1178.387905,36443.81956,36443.81956,23.424076,53.847818,-13.133897,27.849332,9269612,16591390
AE,MG,4738,10279588.77,3.091042453,22,-0.429845805,0.429845805,37622.20746,401.3188701,37220.88859,37220.88859,23.424076,53.847818,-18.766947,46.869107,9269612,24894551
AE,GE,1998,8636381.104,2.564949357,13,-0.355602859,0.355602859,37622.20746,3853.649904,33768.55756,33768.55756,23.424076,53.847818,42.315407,43.356892,9269612,3719300
AE,BI,4056,5929954.091,0.693147181,2,-0.335192642,0.335192642,37622.20746,285.7274421,37336.48002,37336.48002,23.424076,53.847818,-3.373056,29.918886,9269612,10524117
AE,CM,5163,8150793.436,2.833213344,17,-0.246776585,0.246776585,37622.20746,1032.648722,36589.55874,36589.55874,23.424076,53.847818,7.369722,12.354722,9269612,23439189
AE,MZ,6050,7301087.54,2.302585093,10,-0.237479764,0.237479764,37622.20746,382.0693304,37240.13813,37240.13813,23.424076,53.847818,-18.665695,35.529562,9269612,28829476
AE,RW,3833,7519160.754,2.995732274,20,-0.135244662,0.135244662,37622.20746,702.8356016,36919.37186,36919.37186,23.424076,53.847818,-1.940278,29.873888,9269612,11917508
AE,KG,2734,7543292.238,3.044522438,21,-0.129180951,0.129180951,37622.20746,1077.036174,36545.17129,36545.17129,23.424076,53.847818,41.20438,74.766098,9269612,6082700
AE,GH,6168,6872670.72,3.218875825,25,-0.002955827,0.002955827,37622.20746,1513.461034,36108.74643,36108.74643,23.424076,53.847818,7.946527,-1.023194,9269612,28206728
AE,MX,14387,5711746.47,2.302585093,10,0.008018712,0.008018712,37622.20746,8201.306253,29420.90121,29420.90121,23.424076,53.847818,23.634501,-102.552784,9269612,127540423
AE,BF,6027,4758334.167,1.386294361,4,0.016592504,0.016592504,37622.20746,649.7304837,36972.47698,36972.47698,23.424076,53.847818,12.238333,-1.561593,9269612,18646433
AE,AM,2007,6730779.465,3.258096538,26,0.025356143,0.025356143,37622.20746,3606.152057,34016.0554,34016.0554,23.424076,53.847818,40.069099,45.038189,9269612,2924816
AE,ZW,5232,5469005.332,3.36729583,29,0.25369322,0.25369322,37622.20746,1008.597331,36613.61013,36613.61013,23.424076,53.847818,-19.015438,29.154857,9269612,16150362
AE,LA,5047,2459437.659,0,1,0.413224782,0.413224782,37622.20746,2353.152875,35269.05459,35269.05459,23.424076,53.847818,19.85627,102.495496,9269612,6758353
AE,KH,5493,4842435.847,4.477336814,88,0.586229217,0.586229217,37622.20746,1269.907238,36352.30022,36352.30022,23.424076,53.847818,12.565679,104.990963,9269612,15762370
AE,ML,6686,3731442.286,3.135494216,23,0.591963425,0.591963425,37622.20746,780.5071109,36841.70035,36841.70035,23.424076,53.847818,17.570692,-3.996166,9269612,17994837
AE,BJ,5871,2923874.603,2.397895273,11,0.695738478,0.695738478,37622.20746,789.4404107,36832.76705,36832.76705,23.424076,53.847818,9.30769,2.315834,9269612,10872298
AE,SN,7569,2493633.759,1.945910149,7,0.769050608,0.769050608,37622.20746,958.0737379,36664.13372,36664.13372,23.424076,53.847818,14.497401,-14.452362,9269612,15411614
AE,AL,3723,1923444.311,1.609437912,5,0.964759742,0.964759742,37622.20746,4146.89625,33475.31121,33475.31121,23.424076,53.847818,41.153332,20.168331,9269612,2876101
AE,CO,13600,2438355.95,2.890371758,18,0.970872159,0.970872159,37622.20746,5805.605335,31816.60213,31816.60213,23.424076,53.847818,4.570868,-74.297333,9269612,48653419
AE,CG,5260,1717329,1.098612289,3,0.98107351,0.98107351,37622.20746,1528.24483,36093.96263,36093.96263,23.424076,53.847818,-0.228021,15.827659,9269612,5125821
AE,TG,6022,1944275.168,2.944438979,19,1.207577241,1.207577241,37622.20746,578.4616936,37043.74577,37043.74577,23.424076,53.847818,8.619543,0.824782,9269612,7606374
AE,SL,7393,1254377.349,3.044522438,21,1.664838459,1.664838459,37622.20746,496.0494634,37126.158,37126.158,23.424076,53.847818,8.460555,-11.779889,9269612,7396190
AE,MN,5268,1011205.78,2.48490665,12,1.774032862,1.774032862,37622.20746,3686.451698,33935.75576,33935.75576,23.424076,53.847818,46.862496,103.846656,9269612,3027398
AE,PE,14734,1356719.027,4.394449155,81,1.84283291,1.84283291,37622.20746,6045.650077,31576.55738,31576.55738,23.424076,53.847818,-9.189967,-75.015152,9269612,31773839
AE,LR,7228,818627.2518,2.197224577,9,1.930656288,1.930656288,37622.20746,455.3707414,37166.83672,37166.83672,23.424076,53.847818,6.428055,-9.429499,9269612,4613823
AE,DO,12355,646660.5392,1.386294361,4,2.012423938,2.012423938,37622.20746,6722.223536,30899.98392,30899.98392,23.424076,53.847818,18.735693,-70.162651,9269612,10648791
AE,HT,12541,639322.8594,1.609437912,5,2.066222928,2.066222928,37622.20746,739.5954363,36882.61202,36882.61202,23.424076,53.847818,18.971187,-72.285215,9269612,10847334
AE,GT,14264,755488.9036,2.772588722,16,2.120212966,2.120212966,37622.20746,4146.744129,33475.46333,33475.46333,23.424076,53.847818,15.783471,-90.230759,9269612,16582469
AE,LS,6579,471974.0277,0.693147181,2,2.19565515,2.19565515,37622.20746,998.1343716,36624.07309,36624.07309,23.424076,53.847818,-29.609988,28.233608,9269612,2203821
AE,EC,14281,744719.2261,3.583518938,36,2.288610507,2.288610507,37622.20746,5968.984138,31653.22332,31653.22332,23.424076,53.847818,-1.831239,-78.183406,9269612,16385068
AE,BO,13974,516848.7661,2.890371758,18,2.52220115,2.52220115,37622.20746,3104.956089,34517.25137,34517.25137,23.424076,53.847818,-16.290154,-63.588653,9269612,10887882
AE,HN,14071,426645.0016,3.091042453,22,2.75211744,2.75211744,37622.20746,2361.15762,35261.04984,35261.04984,23.424076,53.847818,15.199999,-86.241905,9269612,9112867
AE,CR,14135,225352.5794,0.693147181,2,2.934912913,2.934912913,37622.20746,11824.6381,25797.56936,25797.56936,23.424076,53.847818,9.748917,-83.753428,9269612,4857274
AE,PY,13206,357463.0437,3.583518938,36,3.022585795,3.022585795,37622.20746,4080.204644,33542.00282,33542.00282,23.424076,53.847818,-23.442503,-58.443832,9269612,6725308
AE,SV,14235,290241.3003,3.931825633,51,3.297067499,3.297067499,37622.20746,4223.584579,33398.62288,33398.62288,23.424076,53.847818,13.794185,-88.89653,9269612,6344722
AE,NI,14149,284760.7278,3.970291914,53,3.323437707,3.323437707,37622.20746,2151.382047,35470.82541,35470.82541,23.424076,53.847818,12.865416,-85.207229,9269612,6149928
AE,TL,8509,162425.2416,1.945910149,7,3.500329031,3.500329031,37622.20746,2102,35520.20746,35520.20746,23.424076,53.847818,-8.874217,125.727539,9269612,1268671
AE,SB,11829,39709.64435,0.693147181,2,4.670985019,4.670985019,37622.20746,2005.483643,35616.72382,35616.72382,23.424076,53.847818,-9.64571,160.156194,9269612,599419
AE,WS,13410,10058.1224,3.784189634,44,6.63135554,6.63135554,37622.20746,4027.76137,33594.44609,33594.44609,23.424076,53.847818,-13.759029,-172.104629,9269612,195125
AF,PK,371,48645867487,2.708050201,15,-8.964758731,8.964758731,561.7787463,1468.192946,-906.4141997,906.4141997,33.93911,67.709953,30.375321,69.345116,34656032,193203476
AF,TJ,444,1535583259,3.091042453,22,-5.43635111,5.43635111,561.7787463,795.8438644,-234.0651181,234.0651181,33.93911,67.709953,38.861034,71.276093,34656032,8734951
AF,KG,1012,205832623,1.609437912,5,-3.708186096,3.708186096,561.7787463,1077.036174,-515.2574277,515.2574277,33.93911,67.709953,41.20438,74.766098,34656032,6082700
AF,VN,4600,151826667.7,1.098612289,3,-3.500895839,3.500895839,561.7787463,2185.690282,-1623.911536,1623.911536,33.93911,67.709953,14.058324,108.277199,34656032,92701100
AF,UA,3596,120613747.2,0,1,-3.479435756,3.479435756,561.7787463,2185.728031,-1623.949285,1623.949285,33.93911,67.709953,48.379433,31.16558,34656032,45004645
AF,AZ,1834,100584524.3,0.693147181,2,-3.166174583,3.166174583,561.7787463,3876.936433,-3315.157687,3315.157687,33.93911,67.709953,40.143105,47.576927,34656032,9762274
AF,PH,5640,112565669.5,2.708050201,15,-2.895973371,2.895973371,561.7787463,2951.071929,-2389.293183,2389.293183,33.93911,67.709953,12.879721,121.774017,34656032,103320222
AF,KE,5155,63200272.32,2.63905733,14,-2.331850697,2.331850697,561.7787463,1455.359765,-893.5810187,893.5810187,33.93911,67.709953,-0.023559,37.906193,34656032,48461567
AF,UG,5371,49841449.52,2.079441542,8,-2.200690494,2.200690494,561.7787463,615.3088032,-53.5300569,53.5300569,33.93911,67.709953,1.373333,32.290275,34656032,41487965
AF,JO,3109,33902815.14,0.693147181,2,-2.078674224,2.078674224,561.7787463,4087.937517,-3526.158771,3526.158771,33.93911,67.709953,30.585164,36.238414,34656032,9455802
AF,GE,2250,25460973.79,0,1,-1.923989329,1.923989329,561.7787463,3853.649904,-3291.871158,3291.871158,33.93911,67.709953,42.315407,43.356892,34656032,3719300
AF,AM,2277,19550205.4,0,1,-1.659828281,1.659828281,561.7787463,3606.152057,-3044.373311,3044.373311,33.93911,67.709953,40.069099,45.038189,34656032,2924816
AF,KH,4426,27885442.12,1.945910149,7,-1.645313169,1.645313169,561.7787463,1269.907238,-708.1284917,708.1284917,33.93911,67.709953,12.565679,104.990963,34656032,15762370
AF,MX,13923,22801375.29,1.098612289,3,-1.604977166,1.604977166,561.7787463,8201.306253,-7639.527507,7639.527507,33.93911,67.709953,23.634501,-102.552784,34656032,127540423
AF,MZ,7721,16759786.42,0,1,-1.50582484,1.50582484,561.7787463,382.0693304,179.7094159,179.7094159,33.93911,67.709953,-18.665695,35.529562,34656032,28829476
AF,ZW,6972,11514533.31,0,1,-1.130452492,1.130452492,561.7787463,1008.597331,-446.8185847,446.8185847,33.93911,67.709953,-19.015438,29.154857,34656032,16150362
AF,RW,5638,12993140.81,0.693147181,2,-1.119597759,1.119597759,561.7787463,702.8356016,-141.0568553,141.0568553,33.93911,67.709953,-1.940278,29.873888,34656032,11917508
AF,GH,7758,16241719.13,2.197224577,9,-1.057053324,1.057053324,561.7787463,1513.461034,-951.6822877,951.6822877,33.93911,67.709953,7.946527,-1.023194,34656032,28206728
AF,ML,8081,9549849.766,0,1,-0.943367912,0.943367912,561.7787463,780.5071109,-218.7283646,218.7283646,33.93911,67.709953,17.570692,-3.996166,34656032,17994837
AF,MN,3463,8748696.939,0.693147181,2,-0.724080939,0.724080939,561.7787463,3686.451698,-3124.672952,3124.672952,33.93911,67.709953,46.862496,103.846656,34656032,3027398
AF,CO,14232,8324541.648,0.693147181,2,-0.674384148,0.674384148,561.7787463,5805.605335,-5243.826589,5243.826589,33.93911,67.709953,4.570868,-74.297333,34656032,48653419
AF,SN,8830,6850236.286,0,1,-0.611125634,0.611125634,561.7787463,958.0737379,-396.2949916,396.2949916,33.93911,67.709953,14.497401,-14.452362,34656032,15411614
AF,BJ,7468,6756029.931,0.693147181,2,-0.4656116,0.4656116,561.7787463,789.4404107,-227.6616644,227.6616644,33.93911,67.709953,9.30769,2.315834,34656032,10872298
AF,TG,7606,4556631.093,0,1,-0.203426044,0.203426044,561.7787463,578.4616936,-16.6829473,16.6829473,33.93911,67.709953,8.619543,0.824782,34656032,7606374
AF,GT,14175,2860104.458,0,1,0.262299364,0.262299364,561.7787463,4146.744129,-3584.965383,3584.965383,33.93911,67.709953,15.783471,-90.230759,34656032,16582469
AF,PE,15797,4412648.055,2.833213344,17,0.366863716,0.366863716,561.7787463,6045.650077,-5483.871331,5483.871331,33.93911,67.709953,-9.189967,-75.015152,34656032,31773839
AF,LR,8707,2109126.735,0,1,0.56688352,0.56688352,561.7787463,455.3707414,106.4080049,106.4080049,33.93911,67.709953,6.428055,-9.429499,34656032,4613823
AF,EC,14935,2545755.145,1.098612289,3,0.587416364,0.587416364,561.7787463,5968.984138,-5407.205392,5407.205392,33.93911,67.709953,-1.831239,-78.183406,34656032,16385068
AF,BO,15293,1613380.726,0.693147181,2,0.966492022,0.966492022,561.7787463,3104.956089,-2543.177343,2543.177343,33.93911,67.709953,-16.290154,-63.588653,34656032,10887882
AF,HN,14094,1589883.615,0.693147181,2,0.981163014,0.981163014,561.7787463,2361.15762,-1799.378874,1799.378874,33.93911,67.709953,15.199999,-86.241905,34656032,9112867
AF,PY,14809,1062770.64,0.693147181,2,1.383944519,1.383944519,561.7787463,4080.204644,-3518.425898,3518.425898,33.93911,67.709953,-23.442503,-58.443832,34656032,6725308
AF,NI,14250,1049588.681,1.609437912,5,1.570478878,1.570478878,561.7787463,2151.382047,-1589.603301,1589.603301,33.93911,67.709953,12.865416,-85.207229,34656032,6149928
AF,SV,14207,1089398.249,1.945910149,7,1.597166117,1.597166117,561.7787463,4223.584579,-3661.805833,3661.805833,33.93911,67.709953,13.794185,-88.89653,34656032,6344722
AL,PK,4722,24921094,0.693147181,2,-1.770890764,1.770890764,4146.89625,1468.192946,2678.703304,2678.703304,41.153332,20.168331,30.375321,69.345116,2876101,193203476
AL,IQ,2340,19540936.98,0.693147181,2,-1.527687768,1.527687768,4146.89625,4609.600694,-462.704444,462.704444,41.153332,20.168331,33.223191,43.679291,2876101,37202572
AL,JO,1822,8192298.299,0,1,-0.79003697,0.79003697,4146.89625,4087.937517,58.958733,58.958733,41.153332,20.168331,30.585164,36.238414,2876101,9455802
AL,KE,4985,5608816.874,0,1,-0.41118229,0.41118229,4146.89625,1455.359765,2691.536485,2691.536485,41.153332,20.168331,-0.023559,37.906193,2876101,48461567
AL,UG,4737,5317646.907,0,1,-0.357873383,0.357873383,4146.89625,615.3088032,3531.587447,3531.587447,41.153332,20.168331,1.373333,32.290275,2876101,41487965
