id,Target,Flow(Fij + Fji)
AD,JO,1
AD,PH,1
AD,CO,1
AE,IN,66
AE,PK,147
AE,IQ,6
AE,EG,11
AE,TR,3
AE,AF,9
AE,YE,27
AE,ID,28
AE,NP,1
AE,UA,6
AE,MM,2
AE,TZ,16
AE,NG,88
AE,CD,6
AE,US,5
AE,AZ,12
AE,VN,20
AE,KE,185
AE,BR,1
AE,UG,69
AE,JO,42
AE,TJ,102
AE,MW,1
AE,PH,401
AE,LB,57
AE,ZM,1
AE,MG,22
AE,GE,13
AE,BI,2
AE,CM,17
AE,MZ,10
AE,RW,20
AE,KG,21
AE,GH,25
AE,MX,10
AE,BF,4
AE,AM,26
AE,ZW,29
AE,LA,1
AE,KH,88
AE,ML,23
AE,BJ,11
AE,SN,7
AE,AL,5
AE,CO,18
AE,CG,3
AE,TG,19
AE,SL,21
AE,MN,12
AE,PE,81
AE,LR,9
AE,DO,4
AE,HT,5
AE,GT,16
AE,LS,2
AE,EC,36
AE,BO,18
AE,HN,22
AE,CR,2
AE,PY,36
AE,SV,51
AE,NI,53
AE,TL,7
AE,SB,2
AE,WS,44
AF,PK,15
AF,TJ,22
AF,KG,5
AF,VN,3
AF,UA,1
AF,AZ,2
AF,PH,15
AF,KE,14
AF,UG,8
AF,JO,2
AF,GE,1
AF,AM,1
AF,KH,7
AF,MX,3
AF,MZ,1
AF,ZW,1
AF,RW,2
AF,GH,9
AF,ML,1
AF,MN,2
AF,CO,2
AF,SN,1
AF,BJ,2
AF,TG,1
AF,GT,1
AF,PE,17
AF,LR,1
AF,EC,3
AF,BO,2
AF,HN,2
AF,PY,2
AF,NI,5
AF,SV,7
AL,PK,2
AL,IQ,2
AL,JO,1
AL,KE,1
AL,UG,1
AL,AZ,1
AL,PH,4
AL,ZM,1
AL,PE,3
AL,GT,1
AL,EC,4
AM,UA,1
AM,NG,1
AM,LB,2
AM,PH,4
AM,GH,1
AM,KH,1
AM,SV,1
AO,IN,2
AO,CM,1
AO,UG,1
AO,GH,1
AO,KE,5
AO,MX,1
AO,PE,2
AR,CL,7
AR,US,1
AR,PY,11
AR,PE,19
AR,NG,13
AR,MX,5
AR,BO,8
AR,CO,14
AR,ID,3
AR,EG,1
AR,EC,6
AR,PK,13
AR,GH,2
AR,TZ,3
AR,GT,3
AR,ML,1
AR,SN,2
AR,UG,7
AR,UA,1
AR,HT,2
AR,VN,3
AR,KE,23
AR,HN,1
AR,MW,1
AR,YE,1
AR,BJ,1
AR,PH,31
AR,SL,1
AR,NI,4
AR,RW,1
AR,CR,4
AR,TG,2
AR,LR,1
AR,SV,14
AR,JO,1
AR,IL,1
AR,AZ,1
AR,KH,16
AR,LB,3
AR,TJ,5
AR,BA,1
AR,AL,1
AR,GE,4
AR,AM,2
AR,TL,1
AT,IN,28
AT,UA,32
AT,TR,15
AT,EG,3
AT,BA,4
AT,US,6
AT,PK,71
AT,NG,84
AT,IQ,9
AT,AL,15
AT,CD,5
AT,ID,23
AT,AF,4
AT,YE,6
AT,JO,18
AT,TZ,22
AT,BF,5
AT,AZ,29
AT,MM,4
AT,MX,34
AT,CM,8
AT,VN,27
AT,UG,109
AT,LB,47
AT,GH,45
AT,NP,6
AT,KE,293
AT,ML,38
AT,MW,1
AT,SN,22
AT,GE,25
AT,PH,627
AT,BJ,11
AT,BI,2
AT,ZM,3
AT,MZ,14
AT,AM,43
AT,MG,16
AT,RW,22
AT,CO,123
AT,ZW,12
AT,TJ,151
AT,TG,46
AT,CG,1
AT,KG,35
AT,SL,43
AT,DO,7
AT,GT,14
AT,LR,25
AT,PE,268
AT,HT,35
AT,KH,190
AT,LA,5
AT,EC,129
AT,HN,32
AT,BO,46
AT,PA,1
AT,MN,24
AT,CR,8
AT,PY,50
AT,LS,2
AT,NI,109
AT,SV,131
AT,TL,6
AT,SB,1
AT,WS,27
AU,CN,3
AU,IN,434
AU,ID,628
AU,TH,9
AU,BR,8
AU,US,77
AU,VN,1034
AU,PH,10254
AU,PK,1651
AU,MM,100
AU,ZA,19
AU,MX,507
AU,NG,793
AU,LK,4
AU,EG,69
AU,CD,144
AU,TR,89
AU,AF,35
AU,NP,89
AU,TZ,521
AU,MG,212
AU,MZ,248
AU,IQ,104
AU,UA,86
AU,SO,4
AU,CL,31
AU,YE,162
AU,KH,3671
AU,CI,6
AU,MW,49
AU,TD,1
AU,UG,1853
AU,ZM,31
AU,KE,6925
AU,CO,1330
AU,ZW,226
AU,LA,154
AU,PE,2739
AU,CM,216
AU,GH,628
AU,BI,47
AU,SB,32
AU,BF,118
AU,GT,399
AU,TL,552
AU,EC,944
AU,IL,28
AU,RW,560
AU,ML,405
AU,BG,10
AU,DO,64
AU,AZ,301
AU,BO,876
AU,SN,339
AU,HT,174
AU,TJ,1371
AU,BJ,243
AU,JO,325
AU,HN,418
AU,CG,31
AU,KG,494
AU,PA,10
AU,PY,530
AU,LS,21
AU,CR,125
AU,MN,366
AU,LB,426
AU,BA,8
AU,TG,577
AU,MD,24
AU,NI,1167
AU,SL,576
AU,SV,2119
AU,GE,222
AU,LR,465
AU,WS,849
AU,AL,111
AU,AM,637
AU,BZ,3
AU,SR,9
AZ,TJ,1
AZ,KE,1
AZ,KG,1
AZ,BF,1
AZ,PE,1
BA,AL,1
BA,IN,2
BA,PK,1
BA,ID,1
BA,KE,1
BA,LB,1
BA,UG,1
BA,PH,3
BA,GE,7
BA,CO,1
BA,AM,14
BA,SL,1
BA,KH,1
BA,GT,1
BA,DO,1
BA,SV,3
BB,EC,1
BB,BO,1
BB,NI,1
BB,KE,1
BB,PH,2
BD,PK,5
BD,VN,1
BD,PH,2
BD,IQ,1
BD,KE,2
BD,AZ,1
BD,JO,1
BD,LB,1
BD,GE,1
BD,BJ,1
BD,PE,1
BD,EC,3
BD,LR,1
BD,HN,1
BD,SV,2
BE,IN,21
BE,TR,2
BE,EG,1
BE,UA,8
BE,US,3
BE,NG,38
BE,PK,74
BE,BR,2
BE,BA,1
BE,IQ,8
BE,CD,12
BE,ID,33
BE,MD,2
BE,AF,4
BE,IL,1
BE,BF,4
BE,AL,10
BE,YE,6
BE,MX,61
BE,ZA,4
BE,TZ,42
BE,GH,52
BE,CM,12
BE,NP,2
BE,MM,6
BE,UG,74
BE,ML,38
BE,JO,31
BE,AZ,16
BE,KE,305
BE,SN,47
BE,SO,1
BE,VN,262
BE,LB,39
BE,BJ,11
BE,PH,621
BE,CO,98
BE,MW,3
BE,MG,7
BE,MZ,12
BE,ZW,3
BE,ZM,9
BE,GE,26
BE,BI,7
BE,SL,39
BE,TG,58
BE,RW,56
BE,HT,5
BE,TJ,94
BE,AM,46
BE,DO,17
BE,GT,23
BE,LR,13
BE,CG,4
BE,KG,62
BE,PE,356
BE,LA,1
BE,CL,15
BE,EC,97
BE,HN,31
BE,KH,384
BE,BO,91
BE,CR,9
BE,MN,21
BE,SV,119
BE,NI,176
BE,PY,89
BE,TL,13
BE,SB,1
BE,WS,51
BF,ML,1
BF,TG,1
BG,EG,1
BG,UA,1
BG,IN,4
BG,NG,2
BG,PK,4
BG,MD,1
BG,JO,1
BG,YE,1
BG,LB,5
BG,ID,6
BG,UG,3
BG,AZ,5
BG,BF,1
BG,KE,25
BG,MX,2
BG,GE,4
BG,NP,1
BG,VN,7
BG,MM,2
BG,CM,8
BG,ML,6
BG,AM,11
BG,PH,50
BG,MG,1
BG,SN,5
BG,RW,2
BG,MZ,2
BG,BI,1
BG,TJ,14
BG,ZW,3
BG,TG,3
BG,CO,11
BG,KG,9
BG,SL,3
BG,DO,1
BG,LR,4
BG,PE,24
BG,KH,23
BG,GT,3
BG,EC,13
BG,HN,4
BG,MN,3
BG,BO,20
BG,PY,4
BG,NI,6
BG,PA,1
BG,SV,10
BG,TL,1
BG,SR,1
BG,WS,1
BH,PK,6
BH,YE,2
BH,ID,4
BH,AZ,1
BH,JO,2
BH,KE,17
BH,LB,1
BH,PH,10
BH,AM,1
BH,GH,1
BH,ZM,1
BH,MX,2
BH,KH,4
BH,CO,1
BH,TG,2
BH,SL,1
BH,PE,2
BH,EC,1
BH,SV,1
BH,NI,1
BJ,GH,2
BJ,PK,1
BJ,PE,1
BJ,WS,1
BN,PH,1
BN,KE,3
BN,TJ,1
BN,LB,1
BN,HT,1
BO,PE,1
BO,GT,3
BO,NI,1
BO,TZ,3
BO,KE,3
BO,PH,4
BO,MM,1
BO,MW,1
BO,TG,1
BO,RW,2
BO,KH,3
BR,IN,13
BR,US,127
BR,NG,20
BR,CL,1
BR,CO,44
BR,MX,17
BR,PY,39
BR,PE,102
BR,BO,61
BR,CD,11
BR,EG,2
BR,ID,4
BR,TR,3
BR,EC,48
BR,GH,14
BR,PK,41
BR,SN,7
BR,ZA,6
BR,DO,3
BR,TZ,8
BR,CM,3
BR,BF,5
BR,ML,28
BR,GT,9
BR,UA,5
BR,IQ,1
BR,HT,18
BR,UG,34
BR,MG,1
BR,MZ,25
BR,KE,141
BR,HN,8
BR,PA,1
BR,ZM,3
BR,VN,12
BR,BJ,10
BR,AF,1
BR,SL,29
BR,ZW,4
BR,CR,2
BR,YE,7
BR,MM,6
BR,TG,16
BR,BI,2
BR,LR,16
BR,NI,48
BR,CG,1
BR,PH,224
