country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
CN,IN,2983.7953,26.0465,0.69315,-10.7596,6413.793,6413.793
IN,PK,1452.8535,25.5207,3.6636,-9.613,241.195,241.195
IN,NP,1012.172,24.3466,0.69315,-9.0596,979.8554,979.8554
CN,MM,1744.2548,23.8999,0,-8.7578,6848.1633,6848.1633
IN,MM,1766.2522,23.8345,0,-8.6924,434.3703,434.3703
AF,PK,425.1011,24.3356,2.7081,-8.6276,-906.4142,906.4142
JP,CN,3046.758,23.6604,0,-8.5183,30771.2869,30771.2869
CN,TH,2245.5488,23.6586,0,-8.5166,2215.2674,2215.2674
IN,AF,1851.5497,23.3175,0,-8.1754,1147.6092,1147.6092
IN,ID,4484.9985,23.5675,1.6094,-8.0891,-1860.907,1860.907
LK,IN,1427.7779,23.346,0.69315,-8.059,2126.0069,2126.0069
CN,PK,3284.6103,23.9296,3.4965,-8.0568,6654.9879,6654.9879
CN,ID,4198.1248,23.7401,2.6391,-8.0465,4552.886,4552.886
IR,IN,2827.7535,23.3106,0.69315,-8.0237,3248.1921,3248.1921
CN,VN,2458.3995,23.7747,3.1355,-7.9774,5937.4906,5937.4906
CN,NP,2059.1673,22.9665,0,-7.8244,7393.6484,7393.6484
TH,IN,2382.9228,23.4995,3.2189,-7.6847,4198.5255,4198.5255
IN,VN,3190.2909,23.2132,2.0794,-7.6366,-476.3024,476.3024
RU,IN,4985.6672,22.7631,0.69315,-7.4762,7038.9766,7038.9766
CN,PH,3102.7465,23.4176,5.0689,-7.2162,5172.1089,5172.1089
BD,PK,2205.8206,22.5905,1.6094,-7.1121,-109.4132,109.4132
IR,PK,1502.0068,22.6511,1.9459,-7.1024,3489.3871,3489.3871
TH,MM,855.5833,22.3277,0.69315,-7.0408,4632.8958,4632.8958
VN,KH,392.4089,22.9734,3.7842,-7.0405,915.783,915.783
TH,VN,807.9891,23.0034,4.0604,-7.0128,3722.2231,3722.2231
ID,VN,1764.1085,22.7746,2.9957,-7.0064,1384.6046,1384.6046
NG,BJ,698.4929,22.1451,0,-7.003,1388.5448,1388.5448
IN,EG,4923.5602,22.3771,1.3863,-6.9453,-1805.1022,1805.1022
