country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
CN,IN,2983.7953,26.0465,0.69315,-10.7596,6413.793,6413.793,10.7596
DM,WS,12592.6233,4.5053,0,10.6368,3116.6933,3116.6933,10.6368
DM,TL,18955.0648,5.5595,2.4849,10.1019,5042.4547,5042.4547,10.1019
IS,WS,13965.2676,5.8124,2.5649,9.8657,55949.1812,55949.1812,9.8657
MT,WS,17465.4966,5.633,1.0986,9.7387,21030.4092,21030.4092,9.7387
LU,WS,16002.595,6.0963,3.1355,9.7011,98803.5601,98803.5601,9.7011
IN,PK,1452.8535,25.5207,3.6636,-9.613,241.195,241.195,9.613
IN,NP,1012.172,24.3466,0.69315,-9.0596,979.8554,979.8554,9.0596
CN,MM,1744.2548,23.8999,0,-8.7578,6848.1633,6848.1633,8.7578
IN,MM,1766.2522,23.8345,0,-8.6924,434.3703,434.3703,8.6924
AF,PK,425.1011,24.3356,2.7081,-8.6276,-906.4142,906.4142,8.6276
CY,WS,16525.0199,6.7288,0.69315,8.5582,19296.4404,19296.4404,8.5582
JP,CN,3046.758,23.6604,0,-8.5183,30771.2869,30771.2869,8.5183
CN,TH,2245.5488,23.6586,0,-8.5166,2215.2674,2215.2674,8.5166
IS,SB,13863.7457,6.9493,1.0986,8.4224,57971.4589,57971.4589,8.4224
SZ,WS,14862.2306,7.0787,0.69315,8.2082,-1252.6075,1252.6075,8.2082
DM,MN,12934.1154,7.1936,1.0986,8.1781,3458.003,3458.003,8.1781
IN,AF,1851.5497,23.3175,0,-8.1754,1147.6092,1147.6092,8.1754
BS,TL,16978.7445,7.4511,1.9459,8.0976,21022.3865,21022.3865,8.0976
IN,ID,4484.9985,23.5675,1.6094,-8.0891,-1860.907,1860.907,8.0891
EE,WS,14830.0334,7.063,0,8.079,13546.926,13546.926,8.079
LK,IN,1427.7779,23.346,0.69315,-8.059,2126.0069,2126.0069,8.059
CN,PK,3284.6103,23.9296,3.4965,-8.0568,6654.9879,6654.9879,8.0568
CN,ID,4198.1248,23.7401,2.6391,-8.0465,4552.886,4552.886,8.0465
IR,IN,2827.7535,23.3106,0.69315,-8.0237,3248.1921,3248.1921,8.0237
CN,VN,2458.3995,23.7747,3.1355,-7.9774,5937.4906,5937.4906,7.9774
MO,WS,9030.7734,7.2894,0,7.8527,69159.1988,69159.1988,7.8527
NO,WS,14820.6288,8.4443,5.3936,7.825,66784.7161,66784.7161,7.825
CN,NP,2059.1673,22.9665,0,-7.8244,7393.6484,7393.6484,7.8244
